Series Name,Series Code,Country Name,Country Code,2021 [YR2021]
GDP (current US$),NY.GDP.MKTP.CD,Grenada,GRD,1122807407.40741
GDP (current US$),NY.GDP.MKTP.CD,Guam,GUM,6123000000
GDP (current US$),NY.GDP.MKTP.CD,Guatemala,GTM,85985752107.4679
GDP (current US$),NY.GDP.MKTP.CD,Guinea,GIN,16091817842.2342
GDP (current US$),NY.GDP.MKTP.CD,Guinea-Bissau,GNB,1638517533.16504
GDP (current US$),NY.GDP.MKTP.CD,Guyana,GUY,8044498800.95923
GDP (current US$),NY.GDP.MKTP.CD,Haiti,HTI,20944392615.0803
GDP (current US$),NY.GDP.MKTP.CD,Honduras,HND,28488668301.6401
GDP (current US$),NY.GDP.MKTP.CD,"Hong Kong SAR, China",HKG,369176400967.427
GDP (current US$),NY.GDP.MKTP.CD,Hungary,HUN,181848022233.89
GDP (current US$),NY.GDP.MKTP.CD,Iceland,ISL,25602419210.3374
GDP (current US$),NY.GDP.MKTP.CD,India,IND,3176295065497.24
GDP (current US$),NY.GDP.MKTP.CD,Indonesia,IDN,1186092991320.04
GDP (current US$),NY.GDP.MKTP.CD,"Iran, Islamic Rep.",IRN,359713152725.063
GDP (current US$),NY.GDP.MKTP.CD,Iraq,IRQ,207889333724.138
GDP (current US$),NY.GDP.MKTP.CD,Ireland,IRL,504182603275.542
GDP (current US$),NY.GDP.MKTP.CD,Isle of Man,IMN,..
GDP (current US$),NY.GDP.MKTP.CD,Israel,ISR,488526545878.891
GDP (current US$),NY.GDP.MKTP.CD,Italy,ITA,2107702842669.73
GDP (current US$),NY.GDP.MKTP.CD,Jamaica,JAM,14657586937.0735
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,4940877780755.33
GDP (current US$),NY.GDP.MKTP.CD,Jordan,JOR,45744271658.9141
GDP (current US$),NY.GDP.MKTP.CD,Kazakhstan,KAZ,197112255360.612
GDP (current US$),NY.GDP.MKTP.CD,Kenya,KEN,110347079517.356
GDP (current US$),NY.GDP.MKTP.CD,Kiribati,KIR,207031250
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Dem. People's Rep.",PRK,..
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Rep.",KOR,1810955871380.98
GDP (current US$),NY.GDP.MKTP.CD,Kosovo,XKX,9412034299.23122
GDP (current US$),NY.GDP.MKTP.CD,Kuwait,KWT,..
GDP (current US$),NY.GDP.MKTP.CD,Kyrgyz Republic,KGZ,8543423502.6134
GDP (current US$),NY.GDP.MKTP.CD,Lao PDR,LAO,18827148509.5798
GDP (current US$),NY.GDP.MKTP.CD,Latvia,LVA,39853501579.8211
