Series Name,Series Code,Country Name,Country Code,2021 [YR2021]
Imports of goods and services (current US$),NE.IMP.GNFS.CD,"Gambia, The",GMB,726103441.042335
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Georgia,GEO,11109489891.8338
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Germany,DEU,1776913559651.13
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Ghana,GHA,22131745924.8669
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Gibraltar,GIB,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Greece,GRC,104400555769.479
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Greenland,GRL,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Grenada,GRD,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Guam,GUM,3667000000
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Guatemala,GTM,27577153780.513
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Guinea,GIN,10953261527.8067
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Guinea-Bissau,GNB,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Guyana,GUY,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Haiti,HTI,6269037073.74103
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Honduras,HND,17639425899.4783
Imports of goods and services (current US$),NE.IMP.GNFS.CD,"Hong Kong SAR, China",HKG,733550403952.04
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Hungary,HUN,147741947224.75
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Iceland,ISL,10236699690.8706
Imports of goods and services (current US$),NE.IMP.GNFS.CD,India,IND,758871889541.353
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Indonesia,IDN,223720346705.59
Imports of goods and services (current US$),NE.IMP.GNFS.CD,"Iran, Islamic Rep.",IRN,77462796003.6922
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Iraq,IRQ,50259500000
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Ireland,IRL,479130998508.895
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Isle of Man,IMN,..
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Israel,ISR,124593477804.536
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Italy,ITA,638914659667.432
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Jamaica,JAM,6709997531.00502
Imports of goods and services (current US$),NE.IMP.GNFS.CD,Japan,JPN,936410488486.737
